,Unnamed: 0,title,price,description,description2,image
0,0,English Breakfast Tea Bags,500,"The perfect everyday breakfast tea, in a convenient pyramid teabag.","A classic breakfast tea of the highest quality. Two individually wonderful Glenburn teas -  subtle Darjeeling Leaf Tea and malty Khongea Assam Leaf Tea- compliment each other beautifully. 
Blended to be delicious with or without milk.
20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/n/english_breakfast_tb_4_.jpg
1,1,Green Tea Bags,500,Pure Darjeeling Green Tea in a silky pyramid teabag,"Enjoy sweet and refreshing, great Green Darjeeling Tea anytime and anywhere, in the convenience of individually-wrapped  roomy and silky pyramid tea bags. 

20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/g/r/green_tb_4_.jpg
2,2,Pure Assam Tea Bags,500,Convenient tea pyramid bags filled with full leaf Assam tea," Rich and robust, top-quality golden-tipped Assam tea from the Glenburn Khongea Estate, that gives a warm golden liquor and has a strong malty finish.                     Can be drunk with milk and sugar.
20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/b92737808d806fe5cae365f9a34b3c52/a/s/assam_tb_4_.jpg
3,3,Pure Darjeeling Tea Bags,500,Top quality Darjeeling tea in a roomy pyramid teabag,"For an easy-to-brew, top quality cup of bright and aromatic Autumn Darjeeling, these roomy, silky pyramid teabags are perfect. Darjeeling tea on the go.

20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/b92737808d806fe5cae365f9a34b3c52/d/a/darjeeling_tb_4_.jpg
4,4,Vintage Earl Grey Tea Bags,500,Silky tea pyramids filled with an aromatic Earl Grey blend,"This classic afternoon Earl Grey has a base of robust, flavourful Khongea Assam is infused with Italian Bergamot for its characteristic, heady citrus aroma. In convenient teabags so you can enjoy a fine cup of tea wherever you are. 20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/823433a16ab28461d3b72811e4e38681/e/a/earl_grey_tb_4__1.jpg
5,5,Chamomile Tea Tin,500,"Soothing, calming Chamomile flowers to help relieve stress and fatigue","This delicate Glenburn tisane is made from the of finest Chamomile flowers, to give a fresh yet soothing taste and a warm, calming aroma that cheers the soul.   Perfect for a night-time cuppa or at any time of the day to lift and revive your spirits. A refreshing drink that can cure a common cold or an upset tummy.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/ce384b53462f468731d8d9667225e491/r/m/rmk_1358_1.jpg
6,6,Classic Teas of India - Glenburn Gift Set,1400,"A strong, malty Assam, a delicate, flavoury Darjeeling, and a smooth, refreshing Green - a fine collection from the famous tea growing regions of India.","Indian tea is world famous. The most sought after of these are teas produced in Assam, famous for the distinct, strong and malty flavour; and in the Himalayan mountains of Darjeeling, renown for a delicate and flavory cup of light-liquoring tea.  3 distinctive varieties brought to you from experienced tea-makers of the Glenburn Assam and Khongea Tea Estates - A truly classic collection packaged in a natural jute bag - a perfect gift for any tea lover. 

Teas Included: Khongea Assam Golden Tips Tea (50g), Glenburn Darjeeling Autumn Crescendo Tea (50g), Glenburn Darjeeling Green Tea (50g)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/c/l/classic_gift_set_1.jpg
7,7,Earl Grey Tea Tin,500,A pure Assam tea with a whiff of the finest Italian bergamot.,"Bergamia has been known for its beneficial digestive, immune-boosting and mood-lifting properties for centuries. Enjoy this Assam tea with a citrusy twist - packed with anti-oxidants to reduce stress and lift your spirits!",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/a/earl_grey_tin.jpg
8,8,Festive Gift Box - Glenburn Elephant Gift Set,1800,"A set of three tins containing Darjeeling, Assam and Green Tea."," 3 gorgeous gift tins, each containing ten pyramid teabags  of Glenburn's top teas. Packed in a beautiful gift box with the classic Indian Elephant design, this gift set of fine Indian tea   makes a unique and special gift.

Tea Bags Included: Pure Assam Premium Tea Bags (10 pc), Pure Darjeeling Premium Tea Bags (10 pc), Darjeeling Green Premium Tea Bags (10 pc)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/l/elephant_gift_box.jpg
9,10,Glenburn Christmas Tea Tin,550,"Raise a cup of Glenburn tea to peace, love and happiness during Christmas and the New Year!","Malty Glenburn Khongea Assam tea enriched with a warm fruity glow of orange and Indian rose and balanced by notes of a lingering spicy aroma of ginger and the cinnamon to warm you through the cold months, to bring on some winter cheer.
Celebrate the festive season with this special Christmas tea from the master blenders at Glenburn
",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/dbfab9ebdb92de0b9b6e90346353e191/f/i/final_christmas_tea_65_copy_square_1.jpg
10,11,Glenburn Darjeeling Autumn Crescendo Tea Tin (2021 Harvest),750,"A full bodied yet mellow and floral Autumn tea with undertones of malt, in an elegant Glenburn gift tin.","Made in early November from select fields, the tea bushes gives us one grand finale at the end of the harvesting year and the taste lingers and carries you into the next season. This tea has a gentle copper glow, mirroring the evening sun on the snows of Mount Kanchenjunga in the shadows of which this tea is grown.
100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/a/u/autumn_crescendo_tin.jpg
11,12,Glenburn Darjeeling Autumn Oolong Tea Tin (2021 Harvest),1200,"Rare Darjeeling Oolong tea, made only in small batches, in a Glenburn gift tin.","This speciality Glenburn Darjeeling oolong is made in very small batches towards the close of the season, using only the most experienced tea pickers. The cup is full bodied, yet mellow and round with a beautiful floral bouquet that is light on the palate . 
The ultimate whole leaf tea, that remains intact and unbroken right through the infusion, manufactured with extreme care to preserve all its health giving properties.
50g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/823433a16ab28461d3b72811e4e38681/r/m/rmk_1360.jpg
12,13,Glenburn Darjeeling First Flush Tea Tin (2022 Harvest),1100,"Glenburn's Finest Famous First Flush: bright and floral, in a Glenburn Gift Tin.","Made from only the finest tender shoots plucked during the onset of spring at Glenburn, this stylishly made tea with a beautiful bloom and an abundance of silver tips is pure springtime in a cup. 

Full of aroma and smooth on the palate with undertones of citrus flowers and peach, this tea embodies all the attributes of the finest Darjeeling First Flush tea.
100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/f/i/first_flush_tin.jpg
13,14,Glenburn Darjeeling Green Tea Tin,700,"A Glenburn gift tin filled with sweet, refreshing green tea.","A naturally sweet Green Tea with a bright green infusion, that is smooth and buttery on the palate with fresh zesty undertones. Rich in anti-oxidants, this tea embodies health and wellbeing and leaves you feeling fresh and rejuvenated.

100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/g/r/green_tin.jpg
14,15,Glenburn Darjeeling Monsoon Tea Tin,700,"Monsoon Darjeeling in a tin, for those who favour a stronger brew.","The Glenburn Monsoon teas are characterized by a rich amber cup that is full bodied and smooth on the palate. Can also be complimented with a dash of milk.  

Made in the late summer months when the weather conditions are perfect, the monsoon harvest is specially plucked from select fields of plants that give this Glenburn tea its own unique character.
100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/m/o/monsoon_tin.jpg
15,16,Glenburn Darjeeling Second Flush Tea Tin,750,"Smooth, cocoa-rich Second Flush in a Glenburn Gift Tin."," Plucked in the early summer, the tea is made from select shoots that draw their succulence from the late spring showers. This  Second Flush Tea produces a mature,rounded full-bodied flavour with an excellent flowery nose and complex layer of maltiness with musk and nutty, cocoa undertones. 


100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/s/e/second_flush_tin.jpg
16,17,Glenburn Darjeeling Silver Needle White Tea Tin,2400,"Delicate, precious Silver Needle white tea buds in a Glenburn gift tin.","This Rare White Tea is made at midsummer over just a couple of days each year, when the silvery green buds are about to unfold. 

Whole young buds are picked and delicately processed by only the most highly experienced expert tea pickers at Glenburn to offer this unique and rare Silver Needle White Darjeeling Tea.
Rich in anti-oxidants with very little caffeine, this tea is excellent drunk at any time of the day.
50g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/s/i/silver_needle_tin.jpg
17,19,Glenburn Darjeeling White Peony Tea Tin,1100,"A smooth and rejuvenating white tea, with subtle and sweet floral notes.","This Glenburn classic Darjeeling White Peony Tea is smooth with no astringency and has sweet and floral notes.

The large proportion of buds gives the White Peony a delicate, yet complex flavour, which is why this tea is only available in limited quantities.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/w/h/white_peony_tin.jpg
18,20,Glenburn Kanchenjunga Gift Box,4000,A specially curated selection of the best of Darjeeling and Assam Teas,"Glenburn Darjeeling First Flush: Made of only the finest tender shoots   and an abundance of silver tip; 
Himalayan Green Tea: A naturally sweet Green bright infusion. Light lemon yellow cup, smooth and buttery with fresh zesty undertones; 
Khongea Assam Golden Tips: The best of Assam teas, this distinctive tea is grown only in a few tea plantations;
Royal Bengal Masala Chai: Khongea CTC harvested during the high-quality Second Flush period in Assam. Delicious tea with ginger,black pepper, cinnamon, cardamom pods and cloves.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/dbfab9ebdb92de0b9b6e90346353e191/w/e/web_kanchenjunga__.png
19,21,Khongea Assam CTC Tea Tin,500,"Fine quality great everyday CTC tea, packed in a Glenburn gift tin.","Glenburn Khongea, that produces fine quality CTC teas from its lush green fields, are the preferred choice in certain markets.CTC teas,though popularly made in India with aromatic herbs and spices; tastes delicious on its own or with sugar, milk or cream.
These teas are particularly thick bodied and strong.
100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/c/t/ctc_tin.jpg
20,22,Khongea Assam Golden Tips Tea Tin,1200,"Top grade Assam Tippy, in a Glenburn gift tin.","These best of Assam teas are harvested in the summer months of May during the high quality Second Flush period. Glenburn Khongea is among the few tea plantations that grow the plants that produce a distinctive tea with a large proportion of chunky golden tips.

The cup offers a warm golden liquor with a rich spicy, malty character. A great breakfast tea, best drunk with milk.
100g loose tea in an elegant Glenburn Gift Tin.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/g/o/golden_tips_tin.jpg
21,23,Khongea Assam Leaf Tea Tin,500,A great Assam with a classic deep amber liquor.,"An Assam orthodox TGFOP leaf tea, of a slightly larger leaf grade, that retains the classic deep amber liquor and rich flavour of a Khongea Assam tea. 

The cup is lightly malty, and can be enjoyed with or without milk.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/a/s/assam_leaf_tin.jpg
22,24,Lemon Ginger Green Tea Tin,700,"A revitalizing blend of citrusy freshness complemented by warm, restorative ginger and honey.","A revitalising blend of citrusy freshness complemented by warm, restorative ginger and honey. The health benefits derived from the antioxidants in the Glenburn Darjeeling green tea are enhanced by the immune-boosting effects of lemon and the digestive benefits of ginger.  A perfect drink for any season, especially beneficial in the winter.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/l/e/lemon_ginger_tin.jpg
23,25,Lemongrass Green Tea Tin,650,An aromatic blend of fragrant lemongrass and zesty Darjeeling green tea.,"The mild citrusy flavour of lemongrass blends beautifully with a vegetal, smooth green tea to create an interesting cup of herbal tea.
The medicinal properties of lemongrass with a beautiful fragrance and a soothing, mild, sweet lingering aftertaste together with the anti-oxidants of green tea, bring you health and vitality all through your busy day.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/dbfab9ebdb92de0b9b6e90346353e191/l/e/lemongrass_tea_tin.jpg
24,26,Masala Chai 2020 Tin,550,"A melange of delicious CTC with ginger, black pepper, cinnamon, cardamom pods and cloves.","This Khongea CTC tea is harvested during the high quality Second Flush period in Assam. The tea that can be cooked plain or with milk,  produces a rich and spicy concoction and is a local favourite throughout India that is loved for its ability to warm and revive.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/m/a/masala_chai_tin.jpg
25,27,Precious Teas of Darjeeling - Glenburn Gift Set,2000," Precious limited edition Glenburn White tea, Oolong tea and Green tea. The very best speciality teas from the Glenburn Tea Estate in Darjeeling.","Leaves plucked in tiny quantities with the utmost skill by expert tea pickers, from the best variety of tea bushes at different times of the year, to craft these very precious and unique teas.White Tea: made of young tender shoots, and lightly-processed, with subtle flavours of peach and lilies. Oolong Tea: made towards the end of the year, with beautiful aromatic undertones of Autumn. Green Tea: refreshing and uplifting.
Teas Included: Glenburn Darjeeling White Tea (25g), Glenburn Darjeeling Autumn Oolong Tea (25g), Glenburn Darjeeling Green Tea (50g)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/p/r/precious_gift_set_1.jpg
26,28,Rose White Tea Tin,700,A beautiful combination of Darjeeling white tea leaves and Indian rose petals.,"Therapeutic and nutritious, this tea is a beautiful combination of Darjeeling white tea leaves and Indian rose petals.  This perfect melange will detoxify and cool the body. Rich in Vitamin C and antioxidants it is great for your skin and low in calories, this tea is light and floral with a natural sweetness, and packed with lots of things that are great for you too!",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/r/o/rose_white_tin.jpg
27,29,Seasons of Darjeeling - Glenburn Gift Set,2800,"Three distinct Darjeeling seasonal teas in an attractive Jute bag - First Flush from the spring, Second Flush from the summer and Autumn Crescendo as a grand finale to end the year.","A fine Glenburn collection of Darjeeling teas representing the three main seasonal varieties.  Crisp, flowery First Flush; Full-bodied, fruity Second Flush; and Smooth, Mellow Autumn Crescendo that ends the year with a flourish. Packed in an attractive Jute bag - a perfect gift for a tea lover.

Teas Included: Glenburn Darjeeling First Flush Tea (100g), Glenburn Darjeeling Second Flush Tea (100g), Glenburn Darjeeling Autumn Crescendo Tea (100g)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/s/e/season_s_gift_set.jpg
28,30,Signaure Breakfast Blend Tea Tin,750,A classic breakfast tea of the highest quality.,"This Signature Blend is a marriage of two individually wonderful teas, a Glenburn Darjeeling and a Glenburn Assam Khongea. These two teas are quite different from each other, yet compliment each other beautifully. The subtler flavour and aroma of the Darjeeling leaf serves to mellow the rich and malty Assam tea. A joint celebration of the two great tea-producing regions of India. 

Can be delicious with or without milk.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/823433a16ab28461d3b72811e4e38681/r/m/rmk_1353.jpg
29,31,Strawberry Black Tea Tin,500,"A delicious, fruity blend of strawberries and Glenburn malty, black tea.","The lush river valley of Assam provides you with a medley of vitamins, antioxidants and phytonutrients.  A burst of flavour complements this tea with a sweet lingering aroma that refreshes all your senses. Can be drunk at any time of the day, either hot or iced.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/s/t/strawberry_black.jpg
30,32,Tulsi Green Tea Tin,650,"A perfect drink for any season, and especially beneficial in the winter.","Crafted by Glenburn master blenders, this tea is all about revitalizing the unquenchable thirst for a fine cup of tea. Fresh green tea of the Glenburn Estate teams up with the goodness of Tulsi (Holy Basil) to render a perfect balance of good health and good taste.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/t/u/tulsi_green_tin.jpg
