,title,product_code,health,ingredients,weight,price,image
134,Exclusive Three Mini Rare Chinese Sichuan Red Black Tea        3 x 25 g,SKU: ST33,"Boosts heart functions, Cleanses the body, Aids weight loss, Fights cancer. Good for cardiovascular health, Cholesterol control, Lowers blood pressure, Relieves hypertension.","25g  Gong Fu Red Argent Black Tea, 25g  Gong Fu Red  Or Black Tea, 25g Red Leaf Platine Black Tea",Tea Care Package    25 g x 3 Teas,"Rs. 2,600 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT22_21_04_1000x.jpg?v=1581502613
135,Three Mini Artisan White Teas         3x15 g,SKU: ST29,"Purifies blood, Relieves stress, Has a calming effect on mind and body, Promotes anti-aging, Packed with anti-oxidants, Good for heart, Boosts immunity.","15g Chinese White Silver Needle Bud,15g Darjeeling Indian Organic White Bai Mudan - Platine, 15g Indian Organic White Bai Mudan Argent",Tea Care Package       15g x 3 Teas,"Rs.1,850 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_12_04_1000x.jpg?v=1581497806
136,Three Mini Premium Oolong Teas           3 x 25 g,SKU: ST28,Add a glow to your skin and a spring in your step.,"25g  Tie Guan Yin Autumn Chinese Oolong Tea, 25g Taiwanese Oolong Tea â€“ Argent, 25g Tie Guan Yin â€“ Or Chinese Oolong Tea",25g x 3 Teas,"Rs. 2,350 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT16_02_07_1000x.jpg?v=1581497390
137,Citrus Story Tea Blend Pouch        150 g,SKU: BLD70,"Aids weight loss, Promotes skin care, Improves digestion, Reduces cholesterol, Powers immune system, Promotes detoxification.","Lemongrass, Orange peel, Kaffir lime leaves",150 gms | 75 cups,"Rs. 2,800 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD70_1000x.jpg?v=1581149498
138,Pretty in Pink Tea Blend Pouch      150 g,SKU: BLD26,"Rich in anti-oxidants, Good for joints, Prevents sleep disorders, Protects liver, Anti-depressant, Good for menopause, Packed with Vitamins.","Bulgarian Red Rose petals, Star Anise, Hibiscus",150 gms | 102 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD26_1000x.jpg?v=1581148999
139,Mint & Rooibos Tea Blend                           200 G,SKU: BLD44,"Reduces hypertension, Premature aging, Relieves motion sickness, Prevents stomach disorders, Good for skin and hair, Packed with Vitamin C, Anti-oxidants.","Organic Green Rooibos, Mint",200 gms | 200 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD44_2_1000x.jpg?v=1630316314
130,Marigold Medley Blooming Tea       10 pcs,SKU: TBL14,"Fine green tea leaves  delicately sewn with 3 vibrant Marigold flowers, delicately hand woven and tied together to create a blooming tea that delights all your senses. When each bloom is dropped in freshly boiled water, it blooms.              Good for digestion, Anti-septic, Skin care, Immune system, Good for Eyes, Eases cramps.",3 marigolds tied to tender green tea leaves to form a bloom,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_14-1_1000x.jpg?v=1615446631
141,"Organic Darjeeling Secret FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) First Flush- Platine, Loose Leaf Black Tea Tin       100 G",SKU: BT17(C),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss,, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_C_-1_1000x.jpg?v=1623664134
142,Mars & Venus Iced Tea Tin                 30 pcs,SKU: IC06,"Carries anti-aging, Anti-anxiety properties, Good for menopause, Hair and skin, Boosts immune system, Reduces hypertension, Improves cardio-vascular health, Good for liver health.  
               ","Organic Rooibos, French Pink Rose petals, Bulgarian Red Rose petals",30 pcs | 30 cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-06-2_1000x.jpg?v=1640179257
143,Hint of Mint Iced Tea Tin                  30 pcs,SKU: IC03,"Reduces hypertension, Premature aging, Improves cardio-vascular health, Good for hair, Reduces nausea, Cures muscle pain, Detoxifies the body, Boosts immune system, Prevents bad breath, Aids weight loss.","Organic Rooibos, Peppermint, Ginger mint",30 pcs | 30 cups,"Rs. 2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-03-2_1000x.jpg?v=1640179209
144,Herbal Care                  75 G,SKU: BLD88,1. Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Boosts immune system 5. Aids weight loss 6. Improves heart functions.,"Black Ginger, Cinnamon, Brown Cardamom","75 gms = 57 Cups,","Rs. 1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Herbalcare_1000x.jpg?v=1609226730
145,Femme Fatale Tea Blend                             100 G,SKU: BLD23,"Packed with anti-oxidants, Anti-aging properties, Good for blood pressure, Heart, Digestive system, Liver and skin, Reduces anxiety.","Moringa leaves, French Pink Rose petals, Bulgarian Red Rose petals",100 gms = 68 cups,Rs. 900 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD23_1000x.png?v=1573887287
146,The Musical Loose Leaf Tea Blend Pouch                 100 G,SKU: BLD16,"Packed with anti-oxidants, Anti-aging properties, Prevents sleep disorders Remove toxins, Regulates blood sugar levels, Aids weight loss, Boosts immune system.","Organic White Bai Mudan leaves, Star Anise and Cinnamon",100 gms | 100 cups,"Rs.1,500 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_16_1000x.jpg?v=1581336356
147,The First Kiss Loose Leaf  Tea Blend Pouch      150 G,SKU: DT02,"Promotes relaxation, Prevents digestive issues, Helps cancer prevention, Dental health, Weight loss, Good for bones and heart, Anti-stress.",Organic Darjeeling Black Tea and French Lavender buds,150 gms | 150 cups,"Rs. 2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_11_1000x.jpg?v=1581336320
148,Un Bouquet de Rose                  100 G,SKU: BLD11,"Promotes weight loss, Rich in anti-oxidants & anti-aging properties, Boosts cardiovascular health, Good for skin.","Organic Designer Peridot Tea, natural Rose flavour",100 gms | 132 cups,"Rs. 4,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT02_cdef412e-c29a-4ab6-a14d-8c4b7ebe1c2c_1000x.jpg?v=1581329502
149,Organic Black Jasmine Tea,SKU: JT06,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity, Has calming effect.",Whole leaves Jasmine Tea,50 gms | 50 cups,"Rs.2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09871_1000x.jpg?v=1633932887
150,Chinese Fujian Zen White Tea Cake  357 g,SKU: WT06,"Boosts weight loss, Anti-cancer, Skin beautification, Anti-inflammatory, Packed with anti-oxidants.",Whole leaves White Tea,357 gms | 476 cups,"Rs.15,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT-06_1000x.jpg?v=1562849186
151,Organic Darjeeling FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) -Clonal- 1st Flush - Black Loose Leaf Tea              100 G,SKU: BT29,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT29-2_1000x.jpg?v=1623664965
152,Organic Pride of Darjeeling TGBOP (Fine Golden  Broken Orange Pekoe) 2nd Flush Black Loose Tea Pouch                 150 G,SKU: BT25(A),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,850 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT25_A_-2_1000x.jpg?v=1623664826
153,Organic Soul of Darjeeling FTGFOP (Fine Tippy Golden Flowery Orange Pekoe) 2nd Flush Black Loose Leaf Tea Tin                100 G,SKU: BT24 (B),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.1,850 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_B_-2_1000x.jpg?v=1623664677
154,Chateau De Versailles Tea Blend 50 G,SKU: BLD09,"Relieves stress, Good for heart, Anti-aging, Lowers cholesterol, Replenishes fever, Prevents respiratory disorders, Good for eyes.",Organic Golden Needle Buds & Chrysanthemum Petals,50 gms =66 cups,"Rs.1,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD09_1000x.png?v=1573886653
156,Thinking Of You Gift Box       1 x 50 G,SKU: VDAY12,"Rich in anti-oxidants, Helps fight cancer, Lowers risk of brain stroke.â€¨
","50 gm Chinese Huo Shan Huang Ya - Argent Yellow Loose Leaf Tea, 1 candle, 320 ml Mug",Gift Box                     50 g x 1 Tea,"Rs.3,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box6_1_1000x.jpg?v=1611770470
158,"Chinese Shui Yun You, Award Wining Ripe Pu'er Tea Cake- (Guangzhou International Tea Expo-2008, grown in Menghai, China)     EXCLUSIVE-1 Pc. ONLY
 357 G",SKU: PT22,"Refreshes the body, Cleanses heat toxins, Summer cooler, Aids digestion, Promotes weight loss.",Whole leaves Pu'er Tea,357 gms | 952 Cups,"Rs. 10,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT22_1000x.jpg?v=1609408080
159,"Chinese Shui Yun You, Award winning Raw Pu'er Tea Cake- (Guangzhou International Tea Expo-2008, grown in Menghai, China)     EXCLUSIVE-1 PC. ONLY
357 G",SKU: PT21,"Refreshes the body, Cleanses heat toxins, Summer cooler, Aids digestion, Promotes weight loss.",Whole leaves Pu'er Tea,357 gms | 952 Cups,"Rs. 10,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT21_1000x.jpg?v=1609408027
160,Chinese Mengku Raw  Cake EXCLUSIVE-1 PC. ONLY                        250 G,SKU: PT02,"Contains anti-cancer properties, prevents stress and aids digestion, Lowers cholesterol, purifies blood.",Whole leaves Pu'er Tea,250 gms | 500 Cups,"Rs. 10,600 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT-02_1000x.jpg?v=1562843972
161,Chinese Bing Dao Raw  Cake- Platine   EXCLUSIVE-1 PC. ONLY                         200 G,SKU: PT01,"Lowers cholesterol, Blood purifier, Aids digestion and sleep, Carries anti-aging and anti-stress properties.",Whole leaves Pu'er Tea,200 gms | 500 Cups,"Rs.16,500 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT01_1000x.jpg?v=1609407920
162,Chinese Chrysanthemum Raw Tablet                          40 Pcs,SKU: PT17,"Relieves stress, Recommended for elderly, Helps regulate blood sugar level and cholesterol, Helps maintain a healthy stomach, Improves eyesight.",Whole leaves Pu'er Tea,40 pcs | 160 cups,"Rs.1,800 / Pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT17_1000x.jpg?v=1581415838
163,Sweet Anise                  100 G,SKU: BLD99,1. Packed with antioxidants 2. Good for joints 3. Good for eyes 4. Relieves stress 5. Prevents respiratory disorders 6. Relaxant,"Yellow Chrysanthemum petals, Star Anise",100 gms = 76 Cups,"Rs.1,600 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetAnise_1000x.jpg?v=1609228848
165,Chinese White Silver Needle Tea Cake                  200 G,SKU: BLD99,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,200 gms | 200 cups,"Rs. 12,500 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT-07_1000x.jpg?v=1562849188
166,Jive of Jasmine & Marigold Blooming Tea                     ,SKU: TBL09,"A floral enchantment of tender green tea leaves delicately wrapped with blooms of 1 Marigold and 5 Jasmine flowers masterfully tied together to create a blooming tea that delights all your senses.                Good for digestion, Good for Skin, Immunity, Relaxation, Relieves stress, Good for heart.",1 marigold + 5 Jasmines tied to Tender Green Leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_09_1000x.jpg?v=1615446322
167,Lily & Osmanthus Blooming Tea       10 pcs,SKU: TBL04,"Fine green tea leaves are delicately wrapped with fragrant blossoms of 1 Lily and Osmanthus flower petals to create a blooming tea. When the tea bloom is dropped in freshly boiled water, it â€œbloomsâ€",1 lily + osmanthus petals + green tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_04_1000x.jpg?v=1615445937
168,"Organic Darjeeling FTGFOP 1 (Fine Tippy Golden Flowery Orange Pekoe , Grade 1)(Clonal) 2nd Flush Loose Leaf Black Tea Tin                       100 G",SKU: BT30,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT30-2_1000x.jpg?v=1623665066
169,Organic Soul of Darjeeling FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) First Flush- Platine Loose Leaf Black Tea Tin         100 G,SKU: BT17(B),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_B_-1_1000x.jpg?v=1623664030
170,Full of Surprises Iced Tea Tin         30 pcs,SKU: IC08,"Reduces hypertension, Premature... 
               ",Organic Green Rooibos & Mint,30 pcs | 30 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-08-2_1000x.jpg?v=1640179195
171,"The Great Green Rooibos Tea, Mini Tin Sampler Pack - 25g",SKU: ST54,"Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",25 gms | 25 Cups,Rs. 400 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01978-01-01_1000x.jpg?v=1585733837
174,The Rooibos Moringa Chamomile Tea Blend                          200G,SKU: BLD108,"Controls hormonal imbalance, Mood swing, Aids digestion, Relieves stress, Fights depression, Menstrual spasms, Anti-aging, Improves heart health.","Organic Rooibos, Organic Moringa leaves, Dry Chamomile flower",200 gms | 200 cups,Rs.1300 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD108_2_1000x.jpg?v=1630316784
175,Midnight Minty Rooibos Tea Blend    200 G,SKU: BLD21,"Reduces hypertension, Premature aging, Improves cardio-vascular health, Good for hair, Reduces nausea, Cures muscle pain, Detoxifies the body, Boosts immune system, Aids weight loss.","Organic Rooibos, Peppermint, Ginger mint",200 gms | 200 cups,"Rs.1,560/ tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD21_2_1000x.jpg?v=1630315832
176,Three Mini Bring Joy To Your Gut Green Teas             3 x 25g,SKU: ST18,Improves Gut Health,"25g Chinese Cloudy Fragrance Loose Leaf Green Tea, 25g Indian Organic Smoky Loose Leaf Green Tea, 25g Chinese Simao Loose Leaf Green Tea",25g x 3 Teas,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_48_23_1000x.jpg?v=1580898875
177,The Great Green Rooibos Tea Blend 150G,SKU: BLD85,"Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",150 gms | 150 cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD85_2_1000x.jpg?v=1630316644
178,Hakuna Matata Tea Blend,SKU: BLD15,"Relieves stress, Prevents cancer, Aids dental health, Weight loss, Good for bones, Good for eyes, Replenishes fever, Revents respiratory disorders, Is a natural stress buster.","Organic Darjeeling Black Tea, Yellow Chrysanthemum petals",50 gms = 50 cups,Rs.800 /tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD15_1000x.png?v=1573886994
179,"Circle of Life Blooming Tea, 10pcs",SKU: TBL11,"Tender green tea leaves and 7 Jasmine flowers are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses.              Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",7 Jasmines in a circle,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_11_1000x.jpg?v=1615446444
180,The Sweet Green Rooibos Tea Blend  150 G,SKU: BLD40,"Aids weight loss, Reduces hypertension, Premature aging, Improves cardiovascular health, Eases anxiety, Boosts immunity, Helps control skin problems, Good for eyes.","Organic Green Rooibos, Yellow Chrysanthemum petals, Calendula petals, Blue Corn petals",150 gms | 150 cups,"Rs.1,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD40_2_1000x.jpg?v=1630316056
182,Boss Lady Style Gift Box                                                       2 x 50 G,SKU: WDAY05,"Calming, Gut healthy, Healthy skin glow","50g Organic Jasmine Tea, 50 g Organic Deccan Tea, 2 Mugs",Tea Care Package    50 g x 2 Teas,"Rs. 4,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/247_1000x.jpg?v=1645779511
184,Together Forever Gift Box                 300 G,SKU: VDAY08,"Aids weight loss, Promotes relaxation, Good for heart, relieves stress, packed with anti-oxidants.","200g Chinese Jasmine Tea - Argent Loose Leaf Tea,Â 100g Sri Lankan BM Ceylon Loose Leaf Black Tea,",300 gms | 300 cups,"Rs. 1,980 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box14_1_800x.jpg?v=1611738978
185,Precious Blue Gift Box                        50 G,SKU : GB26-A4,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.","50 gms of Dooars Green Tea,1 300 ml Porcelain Mug",50 gms | 50 cups,"Rs. 1,950 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_17_800x.jpg?v=1617896381
186,Immunitea Boosting Gift Box              5 x 15g,SKU : GB28-A9,"Relieves stress, Improves  brain functionality, Stimulates fat burning, Boosts energy, Enhances heart health & digestion, Boosts immunity.","15g Organic Matcha, 15g Organic Sencha, 15g Houjicha Green Tea, 15g  Spice It Up, 15g Secret Spice  Teas",15 gms | 35 cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box9-4_800x.jpg?v=1621927375
187,"Hey, Hot-Tea                                         3 x 15g",SKU: VDAY23,"Anti-oxidant, Removes toxins, Good for anti-ageing, Respiratory disorders, Boosts energy levels, Aids weight loss","15g Rose white peony, 15g White silver needle bud tea, 15g Organic Matcha Teas,  300ml Bone China mug",15 gms | 3cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC04011_800x.jpg?v=1642500543
188,Yoga Tea                                        3 x 15g,SKU : GB28-13,"Anti-oxidant, Relaxant, Cooling, Promotes weight loss, Anti-aging, Enhances mood, Skin protection, Controls cholesterol and diabetes, Aids stress relief.","15g Chanxin Jasmine Tea , 15g Organic Xueji Chanxin Bud Green Tea, 15gÂ White Lavender Paradise Tea Blend",15 gms | 35 cups,"Rs. 1,950 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC00118_800x.jpg?v=1655399530
189,25 days Fit Tea                            5 x 15g,SKU : GB28-A8,"Improves gut health, Stress reliever, Flushes toxins, Rehydrates the body, Relieves stress, Boosts  energy, Stimulates weight loss, Enhances cardiovascular health, Relaxes muscles
","15g Tie Guan Yin Oolong Tea Spring Tea, 15g Gong Fu Red Tea, 15g Matcha Spring, 15g Hong Qing Baked Green Tea, 15g Gyokuro Green Tea",15 gms | 35 cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box8-4_800x.jpg?v=1621928184
190,15 Days Detox Tea                        3 x 15g,SKU : GB28-A2,"Flushes  impurities and toxins, Enhances digestion, ceduces blood sugar, controls blood pressure, Stimulates weight loss, enhancing digestion, reduces blood sugar, controls blood pressure.l","15g Gold Bud Black Tea, 15g Xiuning Songlou Green Tea, 15gÂ Natural Moringa Cleanse",15 gms | 5 cups,"Rs. 1,560 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_1_-3_800x.jpg?v=1621926464
