,title,health,ingredients,weight,price,image,,,,
1,Green Tea Stick (Pack of 9 individually wrapped 2g each tea sticks),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole leaves Green Tea,1 Stick  = 2 grams,Rs. 310 / pk,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/0000_0019_36_03124b87-e06c-44ba-851f-9054074d09a4_900x.jpg?v=1651224533,,,,
2,"Tasty Irani Chai Tea Tin,         75g",1. Good for heart 2. Lowers cholesterol 3. Prevents nausea 4. Clears common cold 5. Aids digestion 6. Protects liver 7. Boosts immune system 8. Good for oral health 9. Good for skin.,"Ceylon Black Tea, Cardamom, Cloves","Tea Tin, 75gms = 51 cups","Rs.1,170 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TastyIranichai_1000x.jpg?v=1597053268,,,,
3,Rare Silver Needle White Rose Tea Tin         75G,1. Packed with antioxidants 2. Good for skin and menopause 3. Liver health 4. Anti-anxiety properties 5. Reduces stress 6. Boosts immunity 7. Aids digestion 8. Promotes weight loss,"Organic White Silverneedle buds, French Pink Rose buds",75 gms = 99 cups,"Rs. 2,210 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/RareSilverneedle_1000x.jpg?v=1597054123,,,,
4,Kashmir French Lavender Bud - Argent Flower Tea Tin                      100G,"Promotes relaxation, Aids digestion, Eases convulsions and spasms, Promotes mental wellbeing, Good for insomnia.",Whole Flowers,100 gms | 100 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09884_1000x.jpg?v=1633928032,,,,
5,Darjeeling Organic Golden Needle buds  - Platine Loose Leaf Black Tea Tin              100G,"Ideal for detox, Weight loss, Packed with anti-oxidants, Improves liver health, Good for heart.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 3,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT14_1000x.jpg?v=1581403555,,,,
6,"Taste of Darjeeling FTGFOP-1 ( Fine Tippy Golden Flowery Orange Pekoe, grade -1) First Flush- Loose Leaf Black Tea Tin          100G","Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_A_-2_1000x.jpg?v=1623664368,,,,
7,"Organic Pride Of Darjeeling FTGFOP 2nd Flush Black Loose Leaf Tea Tin, 100G","Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms= 132 cups.,"Rs. 1,800/ tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_A_-2_800x.jpg?v=1623664582,,,,
8,"Assam Phalap Pu'er Tea Jar,        100G","Aids digestion, Packed with anti-oxidants, Cancer fighter, Promotes weight loss, Lowers cholesterol, Relieves stress.","Whole tea leaves rolled, dried & microbially fermented ",100 gms | 124 cups,"Rs. 1,400 / jar",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT23_1000x.jpg?v=1581405826,,,,
9,Ayurveda Detox Tea Blend                          50G,"Promotes detoxification, Aids digestion, Improves immunity, Treats skin, Respiratory disorders, Lowers blood pressure, Cures menstrual disorders.","Coriander, Black Cumin, Fennel seeds","Tea Pouch, 50 gms = 25 cups",Rs. 720 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD63_1000x.png?v=1573888322,,,,
10,"Organic Darjeeling White Silver Needle buds - Platine Loose Tea Tin,     75G","Contains anti-oxidants, Regulates blood glucose, Promotes dental health, Aids digestion, Boosts immunity.",Whole leaves White Tea,75 gms | 57 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_1000x.jpg?v=1581416170,,,,
11,"Organic Deccan, 200G","Lowers cholesterol, Rich in anti-oxidants, Strengthens immune system, Aids weight loss.",South Indian Whole leave green tea,200 gms | 132 cups,"Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT40_dad3033f-2af6-4d5c-922a-07ae9f80c9c1_1000x.jpg?v=1612432748,,,,
12,Exotic Green Jasmine                       75G,1. Good for relaxation 2. Improves brain function 3. Dental health 4. Lowers diabetes 5. Rich in antioxidants 6. Improves cardiovascular health 7. Good for eyes.,"Jasmine Tea, Yellow Chrysanthemum petals, Chaoqing Green Tea","Tea Tin, 75 gms = 75 cups","Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ExoticGreen_1000x.jpg?v=1597930954,,,,
13,White Lemongrass Romance                   50G,1. Packed with antioxidants 2. Removes toxins 3. Good for the nervous system 4. Eyes 5. Lowers cholesterol 6. Promotes detoxification 7. Possesses anti-anxiety 8. Anti-aging properties.,"Organic White Bai Mudan leaves, Jammu Lemongrass, Yellow Chrysanthemum petals","Tea Tin, 50 gms = 50 cups","Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLemongrass_1000x.jpg?v=1597920269,,,,
14,"Indian Tulsi Herbal Loose Leaf Tea Tin,           100G","Helps fight acne, Controls diabetes, Balances hormones, Improves respiratory disorders, Dental health.",Whole leaves Herbal Tea,100 gms | 66 cups,"Rs.1,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT09_41c1f264-75aa-4be3-a2a2-a0e2b97f5cf7_1000x.jpg?v=1581402915,,,,
15,Secret Spice                 100G,1.Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Relieves stress 5. Good for joints 6. Prevents sleep disorders,"Ashwagandha, Ginger, Star Anise",100gms = 50 cups,Rs. 950 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SecertSpice_1000x.jpg?v=1597053609,,,,
16,Indian Organic White Bai Mudan - Platine Loose Leaf Tea                       75 G,"Packed with anti-oxidants, Anti-aging properties, Good for skin, Weight loss, Anti-bacterial.",Whole leaves White Tea,75 gms | 75 cups,"Rs. 2,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT04_1000x.jpg?v=1618036763,,,,
17,Tea Spa Tea Blend          50 G,"Prevents respiratory, Digestive issues, Bad breath, Boosts immune system, Aids weight loss, Reduces nausea, Detoxifies the body, Promotes relaxation, Anti-depressant.","French Lavender buds, Ginger mint and Peppermint
",50 gms = 50 cups,Rs. 550 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD08_1000x.png?v=1573886619,,,,
18,Indian Moringa Powder Herbal Tea Tin                      200G,"Loaded with anti-oxidants, It boosts energy levels, Builds bodys defence mechanism, Controls hormonal imbalance, Mood swings and aids digestion.",Whole leaves Herbal Tea,200 gms | 68 cups,"Rs. 1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT08_f9b0a2e5-f015-4475-8e5f-5f1c8135471a_1000x.jpg?v=1581415360,,,,
19,The Indian Treasure Tea Blend                      50G,"Good for heart, Stress relief, Weight loss, Relaxation, Lowers cholesterol.","Organic Pride of Darjeeling Black Tea FTGFOP- 1 First Flush- Platine , Saffron","Tea Pouch, 50 gms = 83 cups","Rs 4,200 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD31_1000x.png?v=1573887512,,,,
20,Ayurveda Detox Tea Blend + Hustle Mini Tin                         15G,"Promotes detoxification, Aids digestion, Improves immunity, Treats skin, Respiratory disorders, Lowers blood pressure, Cures menstrual disorders. Don't throw away your tea after steeping it! One of the gretest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.","Coriander, Fennel and Black Cumin",15 gms | 1 Mini Tin,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hustle_Hard-1_1000x.jpg?v=1575097041,,,,
21,Organic Pride of Darjeeling FTGFOP- 1 ( Fine Tippy Golden Flwery Orange Pekoe) First Flush- Platine Loose Leaf Black Tea Tin      100G,"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_A_-2_1000x.jpg?v=1623663676,,,,
22,The Healer Tea Blend + Good Morning Gorgeous Tin                               15 G,"Packed with anti-oxidants, Improves brain function, Dental health, Promotes weight loss, Good for digestion, Improves energy levels, Regulates menstrual cycle.","Chaoqing Green Tea, Star Anise",15 gms | 1 Mini Tin,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Good_Morning-1_1000x.jpg?v=1575095016,,,,
23,Ayurvedic Spell Tea Blend                         50 G,"Relieves depression, Enhances memory, Helps fight cancer, Relieves asthma, Improves blood flow, Prevents fatigue, Promotes longevity.","Gotukola, Rosemary leaves, Ginkgo Biloba",50 gms = 25 cups,Rs. 875 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD34_1000x.png?v=1573887600,,,,
24,Dreamy Saffron White                            25 G,1. Packed with antioxidants 2. Promotes weight loss 3. Carries anti-aging properties 4. Good for skin 5. Relaxant,"Organic White Silverneedle buds, Saffron",25 gms = 41 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DreamySaffron_1000x.jpg?v=1597920146,,,,
25,"Organic Gift of Darjeeling TGBOP-1 (Tippy Golden Broken Orange Pekoe) First Flush, Argent, Black Loose Leaf Tea Tin                   150 G","Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 150 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT18_B_-1_1000x.jpg?v=1623664293,,,,
26,Holy Potion Tea Blend                            50 G,"Detoxifies the body, Prevents respiratory disorders, Improves oral and dental health, Good for the eyes, Bone strength, Skin care, Regulates blood sugar levels, Aids weight loss, Boosts immune system.","Holy Basil, Sage, Cinnamon
",50 gms | 34 cups,Rs. 750,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD10_1000x.png?v=1573886766,,,,
27,Indian Organic White Bai Mudan - Argent Loose Leaf Tea Pouch            75 G,"Good for relaxation, Skin care, Anti-aging, Blood pressure, packed with anti-oxidants & immune system.",Whole leaves White Tea,75 gms | 57 cups,"Rs.1,700 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT12_1000x.jpg?v=1618036996,,,,
28,The Prestige Iced Tea Tin                 30 pcs,"Good relaxant, Carries anti-oxidants, Anti-stress and anti-aging properties, Controls diabetes, Promotes weight loss, Prevents digestive issues, Sleep disorders, Detoxifies body.","Organic White Silverneedle, Kashmiri Saffron & Saffron Sugar",30 pcs | 30 cups,"Rs. 5,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-07-2_1000x.jpg?v=1640179877,,,,
29,Limited  Edition Darjeeling Moon Drop Designer Loose Tea Leaf Pouch     75 G,"Good for skin, Detox, Anti-aging, Immune system, Digestion.",Whole leaves Designer Tea,75 gms | 124 cups,"Rs. 2,800 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT04_75f1fc81-ab5e-48df-9905-efa8d8878ca5_1000x.jpg?v=1581416210,,,,
30,Indian Organic Moonlight Designer - Platine Loose Leaf Tea Pouch          100 G,"High in anti-oxidants, Fights stomach problems, common cold symptoms, promotes body fat loss, Rejuvenates mind and body.",Whole leaves Designer Tea,100 gms | 166 cups,"Rs. 4,100 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT01_4c730449-dd7a-4130-989b-8719e3db5b94_1000x.jpg?v=1581147918,,,,
31,Organic Soul of Darjeeling TGBOP  (Tippy Golden Broken Orange Pekoe) 2nd Flush Loose Leaf Black Tea Pouch          150G,"Ideal for detox, Weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, cholesterol control.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,500 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT25_B_-2_1000x.jpg?v=1623664886,,,,
32,Natural Spring Tea Tin                        30 pcs,"Packed with anti-oxidants, Removes toxins, Promotes relaxation, Prevents digestive issues, Detoxifies the body.","Organic White Bai Mudan Leaves, French Lavender Buds, French Lavender Leaves",30 pcs | 30 cups,"Rs. 2,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-01-2_1000x.jpg?v=1640179286,,,,
33,White Silver Needle Harmony                     50 G,1. Promotes relaxation 2. High in antioxidants 3. Controls diabetes 4. Promotes weight loss 5. Good for eyes 6. Replenishes fever 7. Prevents respiratory disorders 8. Natural stress buster,"Organic White Silverneedle buds, Yellow Chrysanthemum petals",50 gms = 50 cups,"Rs.1,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteSilverneedle_1000x.jpg?v=1597920326,,,,
34,Chamomile Lavender Jazz              50G,1. Packed with anti-oxidants 2. Removes toxins 3. Promotes relaxation 4. Digestive care 5. Detoxifies the body,"Yellow Chrysanthemum petals, German Chamomile, French Lavender buds","Tea Tin, 50 gms = 34 cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ChamomileJazz_1000x.jpg?v=1597054662,,,,
35,Organic Chamomile Flower Tea        100G,"Induces sleep, Relaxation, Good for skin and eyes, Aids digestion, Relieves stress.",Whole Flowers,100 gms | 50 cups,Rs. 1170 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Chamomile_Tea_1000x.jpg?v=1623055865,,,,
36,Natural Moringa Cleanse                         50G,1. Rich in antioxidants 2. Good for joints 3. Prevents sleep disorders 4. Aids weight loss 5. Boosts immune system 6. Lowers cholesterol 7. Promotes detoxification 8. Controls mood swings.,"Moringa, Star Anise, Cinnamon, Lemongrass","Tea Tin, 50 gms = 34 cups",Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Moringa_1000x.jpg?v=1597920209,,,,
37,Sweet Chamomile Escape                       50G,1. Helps fight anxiety 2. Depression 3. Cures insomnia 4. Aids skin disorders 5. Improves memory 6. Relieves stress 7. Boosts immunity 8. Good for eyes,"German Chamomile, Yellow Chrysanthemum petals, Blue Corn petals, Rosemary","Tea Tin, 50 gms = 34 cups",Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetChamomile_1000x.jpg?v=1597054047,,,,
38,Soothsayer's Chant Tea Blend,"Good for nervous system, Lowers cholesterol, Good for digestion, Prevents insomnia, Anti-depression, Aids skin, Stomach disorders, Promotes relaxation.","Organic German Chamomile, Lemongrass, Mint","Tea Pouch, 50 gms = 34 cups",Rs. 750 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD37_1000x.png?v=1573887685,,,,
39,Moroccan Mint              100G,1. Good for the immune system 2. Hormonal imbalances 3. Memory 4. Nausea 5. Muscle pain 6. Detoxifying the body 7. Respiratory issues 8. Bad breath 9. Weight loss.,"Spearmint, Gingermint, Peppermint","Tea Pouch, 100 gms = 100 Cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Morrocanmint_1000x.jpg?v=1597919785,,,,
40,"Indian Peppermint Herbal Loose Leaf Tea Tin,               100G","Improves digestion, Cures bad breath, Aids weight loss, Eliminates inflammation, Balances sleep patterns.",Whole leaves Herbal Tea,100 gms | 100 cups,"Rs.1,370 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT06_cdd89411-a7fe-4c00-9438-9c262dcc8dd3_1000x.jpg?v=1581402878,,,,
41,Vibrant Hibiscus          100G,1. Rich in antioxidants 2. Packed with Vitamin C 3. Good for joints 4. Aids digestion 5. Protects liver 6. Lowers blood pressure 7. Cholesterol.,"Star Anise, Hibiscus, Cloves",100gms = 100cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/VibrantHibiscus_1000x.jpg?v=1597054250,,,,
42,Garden Mint and Rose Tea Tin                  50g,1. Improves digestion 2. Boosts respiratory health 3. Relieves stress 4. Improves immunity 5. Aids motion sickness 6. Good for menopause.,"Mint Leaves, French Pink Rose petals",50 gms = 34 cups,Rs. 800 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Gardenmontnrose_1000x.jpg?v=1597919707,,,,
43,Lemongrassy Hibiscus Tea Tin         75G,1. Good for the nervous system 2. Cholesterol control 3. Detoxification 4. Blood pressure 5. Blood-sugar levels 6. Packed with vitamin C 7. Carries anti-cancer properties 8. Aids weight loss 9. Boosts immune system.,"Hibiscus, Organic Lemongrass, Cinnamon",75 gms = 37 cups,Rs. 910 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hibiscus_1000x.jpg?v=1597919921,,,,
44,Green Tea Stick (Pack of 99 individually wrapped tea stick),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole Leaves Green Tea,1 Stick  = 2 grams,"Rs. 3,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Stick_2_0ed7deca-4fdd-491b-a8fe-8f793a1f57f7_1000x.jpg?v=1582618287,,,,
45,Citrusy & Spicy Nettle Remedy Tea Tin                        50g,"1. High in anti-oxidants 2.Rich in Vitamin C, 3. Promotes anti-aging 4. Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.","Nettle leaves, Orange Peel, Cinnamon, Dry Ginger",50 gms = 25 cups,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nettle_1000x.jpg?v=1597919628,,,,
46,Three Mini Around The World Green Teas                           3 x 25g,"Controls cholesterol, Tooth decay, Good for the heart, Fights nausea, Aids weight loss, Anti-oxidant, Anti-aging, Anti-bacterial.","Chinese Yunnan Loose Leaf Tea, Indian Doors Leaf , Japanese Sencha Loose Leaf Green Teas",25g x 3 Teas,Rs.1050 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Green_Tea_Contrywise_1000x.jpg?v=1580892607,,,,
47,White Silver Needle Buds                    50g,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_1000x.jpg?v=1618036637,,,,
48,Men in Black Tea Blend Tea Tin     100 G,"Good for heart, Oral and bone health, Blood circulation, Removes bodys toxins, Lowers cholesterol, Aids digestion, Aids weight loss, Boosts energy.","Organic Ceylon Black Tea, Kunming Black Tea, Organic Darjeeling Black Tea",100 gms = 100 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD84_1000x.png?v=1573888679,,,,
49,Olive Branch Tea Blend Tea Tin      50 G,"Aids cardiovascular health, Brain function, Prevents nausea, Relieves motion sickness, Stomach disorders, Good for skin, Hair and detox, Prevents insomnia.","Olive leaves, Lemongrass, French Lavender leaves, Mint",50 gms = 68 cups,Rs. 375 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD46_1000x.png?v=1573887920,,,,
50,"The Floral Secret Blooming Tea, 10pcs","Marigold is also known for its healing properties.Good for eyes, Skin care, Immune system, Promotes relaxation, Relieves stress.",Lily & Marigold tied to tender loose leaf green tea leaves l,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_19_1000x.jpg?v=1615446923,,,,
51,Angelic Lavender Breeze Tea Tin  50G,1. Promotes relaxation 2. Prevents digestive issues 3. Detoxifies the body 4. Good for the nervous system 5. Lowers cholesterol 6. Prevents insomnia 7. Improves memory.,"Lemongrass, Rosemary, French Lavender",50gms = 34 cups,Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/LavenderBrezze_1000x.jpg?v=1597053307,,,,
52,The Jasmine Bouquet Blooming Tea                     10pcs,"The breathtaking fragrances and flavours of Jasmine and Lily are known for their healing and uplifting properties Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",1 lily + 8 jasmine tied to whole tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_05_1000x.jpg?v=1615446125,,,,
53,Loved Forever                2x 25g,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","(25g Jasmine Argent Tea, 25g Organic Jasmine Black Tea, 1 Spiritual Fantasy CandleÂ , 300ml Mug)",Tea Care Packages,"Rs. 3,300 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/6_fd893d9d-2cc3-47f0-b98f-4646639ee8f0_1000x.jpg?v=1581594562,,,,
54,Darjeeling Oolong Tea                        75G,"Helps Manage Stress,  Loose Weight, Prevent Diabetes, Improve Heart Health, Improve Brain Function, Protect Against Certain Cancers,  Promotes Tooth and Bone Strength, Lower Cholesterol",Whole leaves Oolong Tea,75 gms = 74 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT11_1000x.jpg?v=1617856663,,,,
55,Organic Jasmine White TeaÂ                      75G,"Packed with anti-oxidants, lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,75 gms | 75 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09886_1000x.jpg?v=1633932797,,,,
56,Goodnight Kiss Loose Leaf Tea Blend Tin              200G,"Prevents sleep disorders, Good for joints, Eases heart burn, Prevents sleep disorders, Relaxant.","Valerian Root, Star Anise, Licorice Root",200 gms | 100 cups,"Rs. 2,150 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD71_1000x.jpg?v=1581404473,,,,
57,Rosy Duet Tea Blend Pouch               150G,"menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Bulgarian Red Rose Petals, Rosemary Leaves",150 gms | 102 cups,"Rs.2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD39_1000x.jpg?v=1581149281,,,,
58,Jasmine Tea                  100G,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,100 gms | 100 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09880_1000x.jpg?v=1633932611,,,,
59,Dooars             200G,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.",Whole leave green tea,200 gms | 200 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT41_16072c49-df12-4b5f-b524-25c1ae2dbd03_1000x.jpg?v=1612432871,,,,
60,Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Leaf Black Tea Tin   150G,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303,,,,
61,Tea Temptations  Tea Care Package   2 x 25g,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Lowering blood pressure, Purifies blood, Relieves stress, Has a calming effect on mind and body, Boosts immunity","25G Anji White Green Tea, 25G Dooars Green Tea, (300ml Double Walled Glass Tea Infuser","25g x 2 Teas, 1Tea infuser Care","Rs. 2,100 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/17_c827033a-2f7a-4eed-8fbb-1a3fc7eb8e81_1000x.jpg?v=1581674597,,,,
62,Three Mini Around The World Black Teas                       3 x 25g,"Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss, Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health,","25g  Ceylon Black Tea, 25g Organic Darjeeling 2nd  Flush Black Tea, 25g Chinese Yunnan Black Tea, known as Mocha of tea",25g x 3 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_08_25_A_1000x.jpg?v=1581499046,,,,
63,Bombay Spiced Chai Tea Tin                100G,"Good for menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Star Anise, Cloves, Cardamom, Cinnamon",100 gms = 100 Cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Bombayspicedtea_1000x.jpg?v=1609227854,,,,
64,"Infinity Pool Loose Leaf Tea Blend Tin, 150G","Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care.","Hibiscus, Orange Peel, Rosehip",150 gms | 75 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD57_1000x.jpg?v=1609227545,,,,
